length general mean,length general var,length IG mean,length IG var,length IF mean,length IF var,lexical general mean,lexical general var,lexical IG mean,lexical IG var,lexical IF mean,lexical IF var,form general mean,form general var,form IG mean,form IG var,form IF mean,form IF var,success,confidence,language,move ID
0.155,0.0,0.168,0.001,0.211,0.0,0.0,0.0,0.0,0.0,nan,nan,0.881,0.0,0.875,0.0,1.0,0.0,1,4,english,"20061123_pento_nonoise_refexps.p(895, 1014)"
0.136,0.005,0.059,0.013,-0.006,0.0,0.575,0.002,0.5,0.0,0.667,0.0,0.575,0.002,0.5,0.0,0.667,0.0,1,4,english,"20070201_run1pento_nonoise_refexps.p(4, 251)"
0.205,0.086,0.247,0.096,0.422,0.0,0.646,0.025,0.657,0.024,0.0,0.0,0.639,0.084,0.625,0.08,0.857,0.0,1,4,english,"20070201_run1pento_nonoise_refexps.p(1786, 2114)"
0.12,0.098,0.217,0.0,0.089,0.118,0.633,0.204,0.167,0.0,0.75,0.188,0.544,0.089,0.667,0.028,0.583,0.132,1,4,english,"20070201_run3pento_nonoise_refexps.p(1196, 1407)"
0.118,0.001,0.208,0.001,0.198,0.002,0.631,0.034,0.556,0.0,0.643,0.043,0.715,0.128,0.895,0.0,0.667,0.148,1,4,english,"20070201_run4pento_nonoise_refexps.p(288, 785)"
0.075,0.025,0.006,0.022,0.006,0.022,0.544,0.027,0.416,0.037,0.842,0.023,0.925,0.015,0.733,0.129,1.0,0.0,0,2,english,"20061123_pento_nonoise_refexps.p(1015, 1397)"
0.086,0.035,0.085,0.035,0.165,0.0,0.556,0.062,0.556,0.062,nan,nan,0.794,0.009,0.762,0.011,1.0,0.0,1,4,english,"20070201_run3pento_nonoise_refexps.p(225, 374)"
0.361,0.0,0.292,0.0,0.292,0.0,nan,nan,nan,nan,nan,nan,0.667,0.0,0.0,0.0,1.0,0.0,1,4,english,"20061123_pento_nonoise_refexps.p(3754, 3811)"
0.172,0.006,0.202,0.013,0.339,0.0,0.92,0.01,1.0,0.0,0.5,0.0,0.267,0.107,0.0,0.0,1.0,0.0,1,4,english,"20070201_run4pento_nonoise_refexps.p(786, 893)"
0.325,0.068,0.307,0.073,0.15,0.0,0.0,0.0,0.0,0.0,nan,nan,0.467,0.06,0.533,0.071,0.0,0.0,1,4,english,"20070201_run4pento_nonoise_refexps.p(1423, 1513)"
-0.041,0.001,0.106,0.006,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389,0.006,0.5,0.0,0.0,0.0,1,4,english,"20070201_run1pento_nonoise_refexps.p(1316, 1491)"
0.265,0.0,0.273,0.0,0.296,0.0,0.525,0.002,0.5,0.0,1.0,0.0,0.669,0.006,0.625,0.0,1.0,0.0,1,4,english,"20061123_pento_nonoise_refexps.p(187, 397)"
0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.75,0.007,0.667,0.0,1.0,0.0,1,4,english,"20070201_run4pento_nonoise_refexps.p(1300, 1422)"
